objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
mccarville001,1.jpg,,Ernst Karl Winter,image/jpg,Ernst Karl Winter at desk with signature,,,1937,yes,black and white image,Pictures,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Staatsarchiv Wien,Signatur. AT-OeStA/AVA Nachlässe NZN E/1934,d478,1,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,ger,
mccarville002,2.jpeg,,Winter Family ,image/jpeg,"Ernst Karl Winter, wife, and children in USA",,,1942,yes,black and white image,Pictures,"Tenafly, NJ",40.9254,-73.9629,,"McCarville, Mari",Elizabeth Averill,,d425,2,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
mccarville003,3.jpeg,,Margaret and Seven Children,image/jpeg,Ernst Karl Winter's wife and seven children before Maria Magdalena was born ,,,1938,yes,black and white image,Pictures,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Elizabeth Averill,,d435,3,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
mccarville004,4.jpg,,Winter Children,image/jpg,Ernst Karl Winter's eight children in USA,,,1943,yes,black and white image,Pictures,"Tenafly, NJ",40.9254,-73.9629,,"McCarville, Mari",Elizabeth Averill,,d450,4,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
mccarville005,5.jpeg,,Maria Magdalena ,image/jpeg,Maria Magdalena Winter as a child in USA,,,1942,yes,black and white image,Pictures,"Tenafly, NJ",40.9254,-73.9629,,"McCarville, Mari",Elizabeth Averill,,d451,5,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
mccarville006,6.jpg,,Complete Winter Family,image/jpg,"Ernst Karl Winter, wife, and children in USA",,,1940,yes,black and white image,Pictures,"Tenafly, NJ",40.9254,-73.9629,,"McCarville, Mari",Elizabeth Averill,,d453,6,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
mccarville007,7.jpeg,,Ernst Karl Winter in Office,image/jpeg,Ernst Karl Winter holding book and wearing glasses,,,1937,yes,black and white image,Pictures,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Staatsarchiv Wien,,d456,7,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
mccarville008,8.jpg,,Ernst Karl Winter Grave,image/jpg,Ernst Karl Winter's grave in Gersthof cemetary,,,2021,yes,color image,Pictures,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Elizabeth Averill,,d467,8,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
mccarville009,9.jpeg,,Fugitive ,image/jpeg,Ernst Karl Winter's portrait labeled with fugitive stamp,,,1938,yes,black and white image,Pictures,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Staatsarchiv Wien,Signatur. AT-OeStA/AVA Nachlässe NZN E/1934,d469,9,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
mccarville010,10.jpg,,Vice Mayor of Vienna,image/jpg,Ernst Karl Winter in his clothing as vice mayor of Vienna,,,1934,yes,black and white image,Pictures,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Elizabeth Averill,,d483,10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
mccarville011,11.png,,Lecturer,image/png,Ernst Karl Winter at lectern ,,,1937,yes,black and white image,Pictures,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Elizabeth Averill,,d492,11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
mccarville012,12.jpg,,Margaret Winter,image/jpg,Ernst Karl Winter's wife ,,,1935,yes,black and white image,Pictures,"Vienna, Austria",48.2082,16.3719,,"McCarville, Mari",Elizabeth Averill,,d494,12,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproductions are made available and future use should acknowledge this repository. For more information, please contact Mari McCarville at marimccarville@gmail.com. Mari McCarville is not liable for any violations of the law by users.",https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,eng,
